;Сигнализация с авто запуском        ;Сигнализация с авто запуском        ;Электрорегулировка сиденья пассажира;Дополнительное оборудование;EPB (электронный стояночный тормоз с режимом автоматического удержания);EPB (электронный стояночный тормоз с режимом автоматического удержания);;;"Система ""Smart key"" — доступ без ключа+кнопка START/STOP + сигнализация**"
;Тонировка;Тонировка;Память настроек для двух водителей (сиденье, внешние зеркала);Сигнализация с авто запуском        ;Электрорегулировка сиденья пассажира;Электрорегулировка сиденья пассажира;;;Панель приборов Supervision с цветным TFT-дисплеем
;Ковры салона + багажника;Ковры салона + багажника;Вентиляция передних сидений;Тонировка;Память настроек для двух водителей (сиденье, внешние зеркала);Память настроек для двух водителей (сиденье, внешние зеркала);;;
;;;Интеллектуальный круиз контроль;Защитная сетка радиатора;Вентиляция передних сидений;Вентиляция передних сидений;;;Сигнализация с автозапуском
;;;Система автоматического экстренного торможения ;Система автоматического экстренного торможения ;Интеллектуальный круиз контроль;Интеллектуальный круиз контроль;;;Тонировка
;;;"Навигация Navteq** (сенсорный дисплей 8"", MP3, FM/AM+ премиум звук Infinity: 10 дин., внешний усилитель, сабвуфер, Bluetooth)";"Навигация Navteq** (сенсорный дисплей 8"", MP3, FM/AM+ премиум звук Infinity: 10 дин., внешний усилитель, сабвуфер, Bluetooth)";Система автоматического экстренного торможения ;Система автоматического экстренного торможения ;;;Защита ДВС
;;;Электропривод двери багажника с автоматическим открыванием;Электропривод двери багажника с автоматическим открыванием;"Навигация Navteq** (сенсорный дисплей 8"", MP3, FM/AM+ премиум звук Infinity: 10 дин., внешний усилитель, сабвуфер, Bluetooth)";"Навигация Navteq** (сенсорный дисплей 8"", MP3, FM/AM+ премиум звук Infinity: 10 дин., внешний усилитель, сабвуфер, Bluetooth)";;;Коврики салона и багажника
;;;Панорамная крыша с люком;Панорамная крыша с люком;Электропривод двери багажника с автоматическим открыванием;Электропривод двери багажника с автоматическим открыванием;;;
;;;Система автоматической парковки;Система автоматической парковки;Панорамная крыша с люком;Панорамная крыша с люком;;;
;;;"Легкосплавные диски 19"" с шинами 235/55 R19";"Легкосплавные диски 19"" с шинами 235/55 R19";Система автоматической парковки;Система автоматической парковки;;;
;;;Cистема мониторинга давления в шинах;Cистема мониторинга давления в шинах;"Легкосплавные диски 19"" с шинами 235/55 R19";"Легкосплавные диски 19"" с шинами 235/55 R19";;;
;;;Система камер кругового обзора;Система камер кругового обзора;Cистема мониторинга давления в шинах;Cистема мониторинга давления в шинах;;;
;;;Дополнительное оборудование;Дополнительное оборудование;Система камер кругового обзора;Система камер кругового обзора;;;
;;;Сигнализация с авто запуском SmartKey;Сигнализация с авто запуском SmartKey;Дополнительное оборудование;Дополнительное оборудование;;;
;;;Тонировка;Тонировка;Сигнализация с авто запуском;Сигнализация с авто запуском;;;
;;;Защита двигателя;Защита двигателя;Тонировка;Тонировка;;;
;;;Ковры салона + багажника;Ковры салона + багажника;Защита двигателя;Защита двигателя;;;
;;;;;Ковры салона + багажника;Ковры салона + багажника;;;
;;;;;Бронирование под ручками 4 дверей + пороги;;;;
